Typologie du marché,Montant du contrat,Garantie,Délai de réalisation,Expérience fournisseur,Nombre de projets similaires,Notation interne,Chiffre d'affaire,Situation fiscale,Fournisseur blacklisté,Visa (Oui/Non)
Fournitures,5437977,Caution,4,6,0,13,37689553,Non conforme,Oui,Non
Fournitures,8235800,Retenu,6,10,4,14,12597581,Conforme,Oui,Non
Travaux,9586237,Caution,4,10,1,12,25748209,Conforme,Oui,Non
Etude,9996978,Caution,4,7,3,16,41552606,Conforme,Non,Oui
Etude,5752555,Retenu,8,3,2,17,27015296,Non conforme,Non,Non
Etude,6957778,Aucune,8,5,5,20,40616744,Non conforme,Non,Non
Travaux,4689967,Aucune,8,7,3,18,12879219,Conforme,Non,Oui
Etude,4948734,Aucune,6,3,2,16,10721683,Conforme,Oui,Non
Travaux,5881130,Aucune,8,3,3,10,35473857,Conforme,Non,Oui
Travaux,5352420,Aucune,3,2,2,10,48607230,Conforme,Non,Oui
Travaux,5203678,Caution,4,5,4,12,13581521,Conforme,Oui,Non
Services,7408222,Retenu,8,10,5,13,21128133,Non conforme,Oui,Non
Fournitures,8704668,Caution,3,9,2,11,42088314,Non conforme,Oui,Non
Fournitures,4601137,Caution,3,2,2,18,17047950,Non conforme,Oui,Non
Etude,5343228,Retenu,3,6,3,11,21473641,Non conforme,Oui,Non
Services,6429556,Caution,3,7,0,20,38444278,Conforme,Oui,Non
Services,7826018,Retenu,4,8,0,20,13776516,Conforme,Oui,Non
Fournitures,4780568,Caution,3,3,2,10,10294513,Non conforme,Non,Non
Fournitures,6804284,Aucune,6,7,1,19,38787882,Non conforme,Oui,Non
Services,6836490,Retenu,3,7,5,13,42951162,Non conforme,Oui,Non
Etude,6132146,Caution,8,6,3,15,41111594,Conforme,Oui,Non
Services,6189354,Caution,3,5,4,13,25454767,Conforme,Oui,Non
Etude,8760674,Caution,4,6,5,14,37199548,Non conforme,Oui,Non
Fournitures,6612504,Aucune,3,8,3,12,36071591,Non conforme,Oui,Non
Travaux,4572260,Retenu,8,4,5,13,33933199,Non conforme,Non,Non
Services,5526556,Caution,3,9,4,13,49347001,Conforme,Oui,Non
Services,6225664,Retenu,3,6,4,17,41854378,Conforme,Non,Oui
Travaux,6336288,Aucune,3,8,5,20,16205729,Conforme,Non,Oui
Etude,5068877,Aucune,6,2,4,14,45118580,Non conforme,Oui,Non
Travaux,5821302,Aucune,3,1,5,11,15678747,Conforme,Non,Oui
Fournitures,4023761,Aucune,6,9,3,11,38211617,Non conforme,Non,Non
Services,7979906,Aucune,3,6,3,17,42485140,Conforme,Oui,Non
Etude,4542625,Retenu,4,4,1,10,19034269,Conforme,Non,Oui
Services,4137190,Caution,8,4,2,10,12667509,Conforme,Non,Oui
Etude,7748013,Caution,6,4,4,10,35090034,Conforme,Non,Oui
Fournitures,5933035,Aucune,4,2,4,13,20996544,Non conforme,Non,Non
Etude,5391773,Retenu,8,7,3,12,42379059,Conforme,Oui,Non
Services,8182868,Caution,3,9,5,15,36679721,Conforme,Non,Oui
Travaux,5768665,Caution,8,7,4,12,48641852,Conforme,Non,Oui
Etude,9531398,Aucune,4,9,3,17,42124971,Conforme,Oui,Non
Travaux,9355248,Aucune,3,4,1,10,37107933,Conforme,Oui,Non
Etude,8078182,Retenu,3,4,1,10,49588286,Non conforme,Oui,Non
Services,4550499,Caution,8,10,5,14,29302913,Conforme,Oui,Non
Fournitures,5669472,Aucune,4,10,3,11,33387766,Conforme,Non,Oui
Fournitures,5365818,Caution,4,5,1,18,30867611,Conforme,Oui,Non
Travaux,4699586,Retenu,6,5,5,18,15915519,Conforme,Oui,Non
Etude,5190421,Retenu,3,8,0,18,49282119,Non conforme,Non,Oui
Travaux,9544947,Caution,4,6,3,17,41044520,Conforme,Non,Oui
Etude,8756391,Retenu,4,2,1,18,38804373,Non conforme,Oui,Non
Fournitures,6654562,Caution,3,9,5,12,23687036,Conforme,Oui,Non
Fournitures,8541036,Aucune,8,9,3,19,15402900,Non conforme,Non,Non
Travaux,8719573,Retenu,6,9,5,10,25613223,Non conforme,Oui,Non
Services,8933043,Retenu,4,6,4,19,48021227,Conforme,Non,Oui
Services,6908066,Caution,4,3,1,18,28766575,Non conforme,Oui,Non
Services,7398968,Caution,8,8,3,19,29384827,Non conforme,Oui,Non
Services,5518944,Aucune,4,8,4,15,38434361,Non conforme,Non,Oui
Services,9550132,Aucune,3,5,3,11,16079317,Conforme,Non,Non
Services,5944490,Caution,3,8,1,15,30650671,Non conforme,Non,Oui
Services,8518319,Aucune,3,5,2,12,27849422,Non conforme,Non,Non
Services,6749793,Retenu,8,5,5,17,45219931,Conforme,Oui,Non
Etude,8145382,Retenu,3,9,4,19,40749246,Non conforme,Non,Oui
Etude,7924992,Aucune,4,5,0,17,29422186,Non conforme,Non,Non
Fournitures,7712641,Aucune,6,2,3,18,34231593,Conforme,Non,Oui
Fournitures,8602705,Caution,6,5,2,12,33906438,Conforme,Oui,Non
Etude,4273691,Caution,3,8,2,15,26439755,Conforme,Oui,Non
Fournitures,7815377,Retenu,3,5,1,17,31183806,Non conforme,Non,Oui
Etude,6745485,Retenu,6,3,2,16,46379722,Non conforme,Oui,Non
Travaux,7648159,Aucune,6,6,2,16,25522449,Non conforme,Oui,Non
Services,8614027,Retenu,3,5,4,20,49033234,Conforme,Non,Oui
Fournitures,7995314,Aucune,4,3,0,19,17378396,Conforme,Oui,Non
Etude,5468006,Aucune,6,2,4,20,28013105,Conforme,Non,Oui
Services,4118148,Aucune,4,8,3,16,23346793,Conforme,Oui,Non
Etude,7897620,Aucune,8,3,4,14,41015236,Conforme,Oui,Non
Fournitures,7378878,Aucune,3,10,5,17,46564620,Non conforme,Oui,Non
Services,9588967,Caution,6,5,5,13,44095716,Non conforme,Non,Non
Fournitures,4393281,Caution,4,5,5,19,36826641,Conforme,Non,Oui
Services,9974612,Retenu,4,2,2,12,22657196,Conforme,Oui,Non
Travaux,8734817,Caution,4,8,0,14,23375307,Conforme,Oui,Non
Etude,7515336,Retenu,4,4,4,19,28330314,Conforme,Oui,Non
Etude,8558460,Aucune,3,9,1,14,24649014,Non conforme,Oui,Non
Services,6170392,Aucune,4,9,3,20,27368568,Non conforme,Oui,Non
Services,5622243,Retenu,3,9,1,14,17733680,Conforme,Oui,Non
Travaux,4851253,Retenu,3,2,4,15,25788403,Non conforme,Non,Oui
Services,9638172,Caution,3,9,5,18,21646322,Conforme,Non,Oui
Services,4828106,Caution,3,9,2,18,48901790,Conforme,Oui,Non
Services,4022732,Retenu,8,9,0,18,14885202,Conforme,Non,Oui
Travaux,5975412,Retenu,4,9,1,11,21447167,Conforme,Non,Oui
Fournitures,6597070,Caution,4,3,4,13,30446817,Conforme,Non,Oui
Services,7248653,Aucune,8,8,0,20,41300554,Conforme,Non,Oui
Etude,8611987,Caution,3,5,2,18,47149138,Non conforme,Oui,Non
Fournitures,6974148,Aucune,6,5,0,18,17080076,Non conforme,Oui,Non
Fournitures,5935525,Aucune,6,10,3,16,22459814,Non conforme,Non,Oui
Travaux,4588991,Caution,4,5,5,13,21090620,Conforme,Oui,Non
Fournitures,9468272,Caution,3,10,1,16,37406487,Non conforme,Oui,Non
Travaux,5475467,Retenu,8,5,4,17,44158907,Conforme,Non,Oui
Travaux,8322399,Retenu,6,2,0,19,29551629,Non conforme,Oui,Non
Services,7049820,Aucune,4,3,1,14,42413036,Conforme,Oui,Non
Fournitures,5449001,Caution,6,8,3,11,28835953,Conforme,Oui,Non
Fournitures,7741950,Aucune,6,2,4,15,38375989,Conforme,Oui,Non
Travaux,7449425,Caution,3,5,3,14,43632080,Conforme,Non,Oui
Fournitures,5204053,Aucune,3,10,1,10,37941454,Non conforme,Oui,Non
Travaux,6731248,Caution,6,4,5,16,19477943,Conforme,Non,Oui
Etude,5006606,Caution,8,9,2,15,24824427,Non conforme,Oui,Non
Etude,6095741,Retenu,8,4,4,19,40946535,Non conforme,Non,Non
Services,6683901,Caution,8,8,5,11,21945499,Non conforme,Oui,Non
Etude,8559378,Retenu,8,9,2,20,49003398,Non conforme,Non,Non
Etude,4213610,Caution,4,1,0,19,15710948,Conforme,Non,Oui
Fournitures,4128479,Aucune,3,8,5,11,44781914,Conforme,Non,Oui
Etude,8070483,Aucune,4,7,2,20,16381389,Conforme,Oui,Non
Travaux,4955479,Aucune,6,10,2,16,35558421,Conforme,Oui,Non
Services,5529754,Aucune,3,9,0,11,48945381,Non conforme,Non,Non
Etude,8183352,Aucune,4,10,2,17,30136072,Non conforme,Non,Non
Etude,6821441,Aucune,3,9,5,12,47927337,Conforme,Non,Non
Etude,9820884,Retenu,8,1,4,17,25301545,Conforme,Oui,Non
Travaux,9992462,Caution,3,3,1,15,15198988,Non conforme,Non,Oui
Etude,4237242,Retenu,4,6,0,10,11961190,Non conforme,Oui,Non
Etude,5872647,Retenu,3,1,5,17,12754392,Conforme,Non,Oui
Etude,6954549,Retenu,6,10,0,10,42692627,Conforme,Oui,Non
Etude,5384652,Aucune,4,6,5,13,22969943,Non conforme,Non,Non
Travaux,8552196,Aucune,8,5,3,14,21528342,Non conforme,Oui,Non
Etude,9216647,Aucune,6,8,1,18,21397281,Non conforme,Non,Non
Travaux,5536981,Caution,4,4,5,13,48880200,Non conforme,Non,Non
Services,4788300,Caution,8,1,0,14,43395625,Non conforme,Non,Oui
Fournitures,7157043,Aucune,4,5,3,19,14203068,Non conforme,Oui,Non
Fournitures,4681017,Caution,3,1,2,18,16752476,Conforme,Non,Oui
Etude,9159050,Aucune,4,6,3,15,23618199,Non conforme,Oui,Non
Etude,7605340,Retenu,8,2,2,18,36387726,Non conforme,Oui,Non
Travaux,7429504,Caution,4,3,5,13,47516107,Conforme,Non,Oui
Travaux,8705862,Retenu,8,9,1,15,45986675,Conforme,Oui,Non
Services,8551815,Retenu,6,7,4,13,25658361,Non conforme,Non,Non
Fournitures,9526003,Aucune,8,6,0,15,43141911,Non conforme,Oui,Non
Etude,9560553,Retenu,6,9,2,16,40299736,Non conforme,Oui,Non
Fournitures,9303991,Retenu,6,7,0,16,20331256,Conforme,Non,Oui
Services,5378063,Retenu,6,8,4,19,12444534,Non conforme,Oui,Non
Fournitures,5129752,Caution,4,1,1,10,43628959,Conforme,Non,Oui
Services,9862475,Retenu,6,4,3,18,26366965,Conforme,Oui,Non
Services,9294593,Aucune,4,2,4,11,11425796,Non conforme,Non,Non
Services,6801721,Retenu,6,8,4,12,20327339,Non conforme,Oui,Non
Fournitures,6771289,Retenu,6,4,2,17,48786391,Non conforme,Non,Oui
Fournitures,9553861,Retenu,8,3,3,10,14902120,Conforme,Oui,Non
Fournitures,8769686,Aucune,6,4,0,20,39268155,Non conforme,Oui,Non
Etude,4337068,Aucune,3,1,1,20,26248985,Non conforme,Non,Oui
Fournitures,5462161,Caution,3,8,1,16,30883196,Non conforme,Oui,Non
Services,4611997,Aucune,3,4,1,18,29773754,Non conforme,Oui,Non
Services,9406467,Caution,8,6,0,12,11985514,Conforme,Oui,Non
Etude,7382470,Retenu,3,4,1,10,47524290,Non conforme,Oui,Non
Services,6380991,Aucune,3,10,0,19,36332012,Conforme,Oui,Non
Travaux,5028270,Aucune,6,3,1,11,42175906,Conforme,Non,Oui
Travaux,7119653,Caution,6,8,1,14,26235332,Non conforme,Non,Oui
Etude,5550609,Retenu,8,10,2,19,22598244,Non conforme,Non,Non
Etude,5278393,Retenu,3,2,5,15,27631549,Conforme,Non,Oui
Etude,6012096,Aucune,3,2,4,11,15368675,Conforme,Non,Non
Fournitures,7815915,Aucune,6,7,1,20,11636682,Non conforme,Non,Oui
Services,4511744,Caution,6,5,3,20,48051341,Non conforme,Non,Oui
Etude,7235739,Retenu,8,8,0,19,32859648,Non conforme,Oui,Non
Travaux,8138660,Retenu,4,9,3,12,32238656,Non conforme,Non,Non
Etude,5537422,Aucune,3,6,2,10,25729567,Conforme,Oui,Non
Fournitures,9260281,Caution,3,2,0,11,45063317,Conforme,Non,Oui
Services,8168069,Caution,8,10,2,10,28934239,Non conforme,Oui,Non
Etude,4130724,Aucune,6,7,5,20,49295986,Non conforme,Non,Oui
Etude,8804134,Caution,3,7,1,12,46743745,Conforme,Non,Oui
Services,5556948,Retenu,8,6,2,16,46598483,Conforme,Oui,Non
Fournitures,5386114,Aucune,3,2,1,12,46090505,Conforme,Oui,Non
Travaux,7529982,Aucune,6,6,4,11,32555136,Conforme,Non,Oui
Services,9097390,Aucune,8,8,5,20,27520434,Conforme,Non,Non
Services,9331919,Aucune,3,9,0,13,46795928,Non conforme,Non,Non
Travaux,5138540,Retenu,4,6,0,13,21080391,Non conforme,Non,Non
Services,6888213,Caution,6,7,3,13,30107846,Conforme,Non,Oui
Etude,5701344,Caution,6,10,0,19,34593413,Non conforme,Non,Oui
Fournitures,9600867,Caution,4,1,0,15,18737790,Conforme,Oui,Non
Fournitures,6349027,Caution,4,7,2,13,30557923,Non conforme,Oui,Non
Fournitures,9183259,Caution,3,6,1,17,19453120,Conforme,Non,Oui
Services,4344019,Aucune,6,9,2,16,23099432,Non conforme,Oui,Non
Etude,7545742,Caution,4,4,1,16,42601957,Conforme,Non,Oui
Travaux,5646799,Retenu,3,8,2,18,27808040,Conforme,Oui,Non
Travaux,4032956,Caution,3,4,3,12,43783580,Conforme,Oui,Non
Fournitures,6675757,Retenu,6,7,3,17,29001059,Non conforme,Oui,Non
Etude,6708754,Caution,3,7,3,11,21152706,Conforme,Non,Oui
Travaux,8701699,Caution,6,10,4,16,41358749,Conforme,Oui,Non
Etude,7300978,Aucune,6,1,1,11,24370198,Conforme,Oui,Non
Fournitures,8236703,Aucune,8,4,2,11,38108936,Conforme,Oui,Non
Services,9897795,Aucune,8,2,0,10,28507365,Non conforme,Non,Non
Etude,6644048,Caution,3,10,2,19,10914256,Non conforme,Oui,Non
Travaux,6381175,Caution,8,1,5,10,46669164,Conforme,Oui,Non
Etude,5018546,Aucune,8,8,5,18,34050832,Conforme,Non,Non
Travaux,6954517,Aucune,6,5,5,17,18730705,Non conforme,Non,Oui
Fournitures,7429682,Aucune,6,7,1,20,17520219,Non conforme,Non,Oui
Travaux,6598567,Retenu,3,6,1,19,40150882,Conforme,Oui,Non
Fournitures,6586473,Retenu,3,9,5,15,26110919,Non conforme,Non,Oui
Etude,4572204,Caution,3,5,0,14,44466732,Conforme,Non,Oui
Fournitures,7712480,Retenu,4,8,5,16,14731448,Conforme,Oui,Non
Fournitures,9959849,Caution,4,4,3,14,18892372,Non conforme,Oui,Non
Services,7793949,Caution,3,10,1,19,44984248,Non conforme,Oui,Non
Services,7048343,Retenu,8,9,2,12,49401582,Conforme,Non,Oui
Etude,4229456,Retenu,4,3,4,12,21247582,Non conforme,Non,Non
Fournitures,8983326,Caution,6,6,3,15,10801882,Conforme,Non,Oui
Services,9079083,Aucune,8,10,0,14,13650292,Non conforme,Non,Non
Services,4235587,Retenu,4,1,5,18,34006738,Conforme,Non,Oui
Services,5180313,Aucune,6,2,1,16,28459125,Non conforme,Non,Oui
Fournitures,9527785,Retenu,4,2,5,17,49105688,Non conforme,Non,Oui
Services,9043177,Aucune,6,6,3,14,43731032,Conforme,Non,Non
Travaux,5673300,Caution,6,10,1,12,37508082,Non conforme,Non,Non
Etude,7642418,Caution,3,4,0,16,31418825,Conforme,Non,Oui
Etude,4101567,Retenu,3,9,2,12,25191599,Non conforme,Non,Non
Travaux,8281395,Aucune,8,9,2,17,17243806,Non conforme,Non,Oui
Services,8120661,Retenu,3,6,4,20,22768672,Non conforme,Non,Oui
Travaux,8491203,Aucune,8,4,4,12,28736900,Non conforme,Oui,Non
Etude,9932525,Aucune,8,4,0,14,25493463,Non conforme,Oui,Non
Services,6889558,Caution,3,9,0,14,13257894,Non conforme,Non,Oui
Travaux,4455590,Caution,6,5,4,11,13958840,Non conforme,Oui,Non
Fournitures,9674430,Caution,6,6,5,14,10637692,Non conforme,Oui,Non
Fournitures,9349026,Caution,3,9,2,11,49043090,Conforme,Non,Oui
Services,6251939,Retenu,8,5,4,20,20369377,Conforme,Oui,Non
Etude,4720872,Caution,3,5,3,17,42961995,Non conforme,Oui,Non
Services,7071902,Retenu,6,8,3,19,29790650,Non conforme,Non,Oui
Fournitures,4867133,Retenu,8,4,5,10,34930136,Non conforme,Oui,Non
Travaux,5352367,Retenu,8,6,5,10,13560199,Non conforme,Non,Non
Travaux,9843165,Aucune,8,2,1,17,12017204,Conforme,Oui,Non
Travaux,9182057,Aucune,3,1,1,19,38975189,Conforme,Non,Oui
Services,7861386,Caution,3,3,5,10,27715616,Conforme,Oui,Non
Fournitures,6460838,Caution,8,9,2,13,13899104,Conforme,Oui,Non
Services,7705926,Retenu,3,3,4,13,43715867,Non conforme,Oui,Non
Etude,7792527,Caution,8,7,3,20,12398876,Conforme,Non,Non
Travaux,4541351,Caution,8,4,3,11,21971561,Conforme,Oui,Non
Services,4688593,Aucune,6,10,4,18,47301739,Non conforme,Non,Oui
Travaux,7551645,Caution,4,2,0,18,15962637,Conforme,Oui,Non
Services,5534792,Caution,6,8,0,19,35652849,Non conforme,Oui,Non
Travaux,9663474,Caution,4,10,5,10,45700675,Non conforme,Non,Non
Travaux,9039801,Aucune,3,3,4,12,49062703,Non conforme,Non,Non
Services,9327183,Aucune,3,5,5,20,22444334,Conforme,Non,Non
Services,9391481,Retenu,3,8,4,20,26428495,Conforme,Oui,Non
Etude,7719567,Retenu,4,3,0,19,44280184,Non conforme,Non,Oui
Services,7824117,Caution,6,7,4,11,13017913,Non conforme,Oui,Non
Fournitures,7658770,Retenu,4,8,4,11,18246841,Non conforme,Non,Non
Travaux,9877047,Retenu,3,4,0,10,45112505,Non conforme,Non,Non
Services,7512069,Retenu,8,2,2,20,31293217,Conforme,Oui,Non
Services,8663103,Caution,4,3,0,13,15296163,Non conforme,Non,Non
Fournitures,5418911,Aucune,8,7,4,12,45982840,Non conforme,Oui,Non
Etude,9220112,Caution,4,7,0,19,23328689,Conforme,Oui,Non
Travaux,6014667,Retenu,3,2,1,13,34350032,Non conforme,Oui,Non
Services,6483476,Aucune,8,10,1,16,11879477,Conforme,Oui,Non
Travaux,8395817,Retenu,3,1,5,14,18418676,Conforme,Oui,Non
Services,8013598,Retenu,4,7,1,19,31948996,Conforme,Oui,Non
Services,6141419,Caution,4,6,1,16,47436728,Non conforme,Non,Oui
Services,8070915,Aucune,8,3,5,20,38247095,Conforme,Non,Oui
Etude,8405671,Aucune,4,8,3,16,14026764,Non conforme,Oui,Non
Fournitures,8992623,Aucune,4,7,2,19,25289260,Non conforme,Non,Non
Fournitures,7342900,Retenu,4,4,1,11,19543123,Non conforme,Non,Non
Services,9400125,Retenu,6,2,1,12,38819425,Non conforme,Oui,Non
Travaux,4934424,Retenu,4,1,4,20,42525217,Non conforme,Oui,Non
Fournitures,9335441,Retenu,8,9,4,20,20134595,Conforme,Non,Oui
Services,5337991,Retenu,4,3,5,10,11670140,Non conforme,Non,Non
Fournitures,9190116,Retenu,3,10,4,12,15304761,Conforme,Non,Oui
Travaux,7539132,Caution,4,8,2,14,22252197,Conforme,Oui,Non
Travaux,7130300,Caution,3,10,0,17,33485052,Non conforme,Oui,Non
Fournitures,8745267,Caution,6,8,4,10,43001457,Non conforme,Oui,Non
Travaux,8492068,Caution,4,10,4,16,20103478,Non conforme,Non,Oui
Services,9435079,Retenu,8,3,0,11,12666723,Conforme,Non,Oui
Fournitures,7927364,Caution,4,8,5,20,13210938,Non conforme,Non,Oui
Fournitures,8520403,Retenu,8,2,5,10,44108838,Conforme,Oui,Non
Travaux,9142026,Retenu,8,3,3,15,47636356,Conforme,Oui,Non
Fournitures,4839816,Caution,8,10,0,18,24639601,Conforme,Oui,Non
Etude,6391757,Aucune,6,10,2,18,10976017,Non conforme,Non,Non
Fournitures,4142187,Aucune,3,6,4,20,32581435,Conforme,Oui,Non
Services,5225676,Retenu,8,3,0,12,19446548,Conforme,Non,Oui
Services,4744724,Aucune,8,1,3,13,49122422,Conforme,Non,Oui
Travaux,6179539,Caution,8,8,3,16,37327905,Conforme,Oui,Non
Etude,5951846,Caution,3,5,4,19,20297546,Conforme,Oui,Non
Fournitures,7518097,Retenu,4,5,0,16,16355255,Conforme,Oui,Non
Services,9032081,Retenu,3,4,4,19,44647774,Non conforme,Oui,Non
Etude,9274224,Caution,6,2,3,15,38884260,Conforme,Non,Oui
Fournitures,9238026,Aucune,3,5,0,19,12168212,Non conforme,Non,Non
Etude,6994399,Caution,3,1,4,13,45536955,Conforme,Oui,Non
Travaux,7879535,Caution,8,7,3,16,34425577,Non conforme,Oui,Non
Etude,6751404,Retenu,4,7,0,17,49908997,Conforme,Non,Oui
Fournitures,6884824,Aucune,3,3,3,16,10701024,Conforme,Non,Oui
Etude,7775535,Retenu,8,7,3,17,13727254,Non conforme,Oui,Non
Fournitures,7493158,Caution,4,6,3,13,38916224,Non conforme,Oui,Non
Fournitures,5649199,Aucune,3,7,5,14,19940762,Conforme,Non,Oui
Services,6520447,Caution,8,2,1,11,14377883,Conforme,Oui,Non
Services,6320264,Aucune,3,6,0,11,43710040,Conforme,Oui,Non
Services,7751190,Retenu,3,6,5,10,18596609,Conforme,Non,Oui
Etude,8833991,Caution,8,4,1,15,46879681,Non conforme,Non,Non
Services,8339204,Aucune,4,7,0,19,46608222,Non conforme,Non,Oui
Etude,4374837,Caution,8,10,3,14,14589336,Non conforme,Oui,Non
Etude,5437063,Aucune,3,6,0,20,34314736,Conforme,Oui,Non
Travaux,7417952,Caution,4,7,3,12,10338778,Non conforme,Non,Non
Fournitures,5656172,Aucune,6,10,0,12,33962233,Non conforme,Non,Non
Etude,4437822,Retenu,8,4,0,11,25770185,Conforme,Oui,Non
Etude,9429743,Caution,4,1,2,11,44508460,Non conforme,Oui,Non
Fournitures,7576610,Retenu,8,9,1,16,28831960,Non conforme,Non,Oui
Etude,7156609,Caution,8,1,4,15,39116806,Non conforme,Non,Non
Services,4706769,Aucune,4,9,0,10,31355651,Conforme,Non,Oui
Etude,7306954,Aucune,4,9,5,15,18370654,Conforme,Non,Non
Services,4644920,Aucune,4,9,2,17,49467259,Non conforme,Non,Oui
Fournitures,6033678,Retenu,6,10,2,18,11810413,Non conforme,Oui,Non
Etude,8281407,Aucune,8,9,3,18,11420870,Non conforme,Oui,Non
Services,4577566,Retenu,4,10,5,16,43584554,Conforme,Non,Oui
Services,7773206,Caution,8,3,3,18,43650296,Non conforme,Oui,Non
Services,5173669,Retenu,6,5,1,18,36702789,Non conforme,Oui,Non
Travaux,8578998,Caution,6,4,4,12,21991239,Non conforme,Oui,Non
Services,9116702,Caution,4,7,4,19,40847674,Non conforme,Non,Oui
Etude,6100508,Retenu,4,1,1,20,14080399,Non conforme,Oui,Non
Travaux,4363835,Retenu,3,3,1,19,27860508,Conforme,Oui,Non
Services,6033742,Retenu,4,4,3,11,15728454,Conforme,Non,Oui
Travaux,9492172,Caution,8,5,0,12,43561386,Non conforme,Oui,Non
Services,4849200,Aucune,6,1,0,16,45909360,Non conforme,Non,Oui
Fournitures,9886338,Aucune,8,2,1,10,40826277,Conforme,Oui,Non
Etude,7009170,Retenu,3,8,4,18,25481692,Non conforme,Oui,Non
Fournitures,7300257,Retenu,8,3,3,12,34009941,Non conforme,Non,Non
Services,5345513,Retenu,6,7,1,13,38051307,Non conforme,Oui,Non
Fournitures,9164968,Aucune,8,4,3,13,14782932,Conforme,Oui,Non
Travaux,5011011,Caution,6,10,5,20,38994842,Conforme,Oui,Non
Services,6092634,Retenu,8,5,1,17,17393031,Conforme,Non,Oui
Fournitures,9445943,Retenu,8,7,4,13,16866347,Non conforme,Non,Non
Fournitures,6321560,Caution,6,4,4,18,33907289,Non conforme,Non,Oui
Fournitures,5802228,Aucune,8,6,1,14,33187793,Non conforme,Non,Oui
Travaux,4994325,Caution,4,3,0,11,44557266,Conforme,Oui,Non
Services,6422976,Retenu,8,2,5,18,34162639,Non conforme,Non,Oui
Services,9388987,Caution,3,10,0,19,35411709,Non conforme,Non,Oui
Services,8609772,Retenu,6,4,3,20,21000871,Non conforme,Non,Oui
