Typologie du marché,Montant du contrat,Garantie,Délai de réalisation,Expérience fournisseur,Nombre de projets similaires,Notation interne,Chiffre d'affaire,Situation fiscale,Fournisseur blacklisté,Visa (Oui/Non)
Services,4624599,Retenu,4,7,3,20,30692023,Non conforme,Non,Oui
Travaux,4948095,Retenu,4,10,1,14,23141562,Conforme,Oui,Non
Travaux,6928556,Caution,4,7,2,16,46233328,Conforme,Non,Oui
Travaux,4999627,Retenu,6,10,2,18,11696112,Conforme,Oui,Non
Services,9646344,Aucune,6,10,0,10,17881806,Conforme,Oui,Non
Travaux,6392911,Retenu,4,7,4,20,12214065,Non conforme,Non,Oui
Services,6598232,Aucune,3,8,5,11,46083610,Conforme,Oui,Non
Fournitures,7703050,Caution,6,4,2,10,24607556,Conforme,Non,Oui
Services,7882843,Retenu,6,4,1,11,19298284,Conforme,Oui,Non
Travaux,7415600,Caution,6,4,5,19,42965197,Non conforme,Non,Oui
Travaux,5512521,Caution,3,4,4,15,49949344,Non conforme,Oui,Non
Travaux,8373566,Aucune,8,3,0,15,46892130,Non conforme,Non,Oui
Services,6332401,Caution,3,6,1,16,20095025,Conforme,Oui,Non
Fournitures,6868655,Aucune,4,3,3,13,29888489,Conforme,Non,Oui
Travaux,9658954,Retenu,4,8,0,15,49820408,Non conforme,Oui,Non
Travaux,6856082,Caution,6,1,1,12,44456538,Conforme,Non,Oui
Services,8668636,Retenu,4,7,2,19,11043860,Conforme,Non,Oui
Travaux,4813100,Caution,3,7,4,14,49589730,Conforme,Oui,Non
Services,4002411,Aucune,8,4,5,19,42382379,Conforme,Oui,Non
Fournitures,4976870,Retenu,8,10,4,19,28916814,Conforme,Non,Oui
Travaux,7533406,Aucune,4,5,0,20,36234612,Non conforme,Oui,Non
Travaux,4873335,Caution,6,1,4,15,30985963,Non conforme,Non,Oui
Travaux,9588288,Aucune,4,6,3,12,24314401,Conforme,Non,Non
Fournitures,6130140,Aucune,3,7,5,10,47343733,Conforme,Oui,Non
Travaux,7003095,Aucune,6,6,2,18,32256097,Non conforme,Oui,Non
Travaux,4193370,Aucune,4,3,3,19,48500423,Non conforme,Oui,Non
Services,8451257,Caution,8,6,2,20,40608341,Conforme,Oui,Non
Services,9135169,Retenu,8,6,3,16,14124250,Non conforme,Oui,Non
Fournitures,4526667,Caution,3,10,5,16,33672643,Conforme,Non,Oui
Travaux,4611583,Retenu,8,8,2,17,16017338,Conforme,Non,Oui
Travaux,5559597,Caution,6,8,0,17,19930433,Conforme,Oui,Non
Fournitures,9307863,Aucune,3,6,2,17,40949409,Non conforme,Oui,Non
Travaux,8426065,Retenu,4,3,0,12,31966231,Conforme,Non,Oui
Fournitures,6293904,Retenu,6,6,2,20,43428315,Conforme,Non,Oui
Services,8886029,Caution,4,9,2,16,17691000,Non conforme,Non,Oui
Fournitures,9126230,Caution,6,10,3,14,37383432,Conforme,Non,Oui
Travaux,5761657,Retenu,4,10,5,18,48665575,Non conforme,Oui,Non
Travaux,8349970,Retenu,3,8,0,17,19293290,Conforme,Oui,Non
Travaux,6822987,Retenu,4,5,5,17,46998755,Conforme,Oui,Non
Services,7151889,Retenu,6,7,0,20,32671382,Non conforme,Oui,Non
Services,4723651,Caution,8,9,3,17,45771294,Non conforme,Oui,Non
Travaux,9715069,Aucune,4,10,3,11,27932692,Non conforme,Non,Non
Travaux,6686551,Aucune,8,7,4,19,23104430,Conforme,Non,Oui
Services,7890242,Retenu,3,7,5,16,10207860,Conforme,Oui,Non
Travaux,6663899,Retenu,6,1,4,20,23110877,Conforme,Oui,Non
Travaux,6447577,Retenu,6,8,0,13,12012614,Non conforme,Oui,Non
Fournitures,8494067,Retenu,8,10,4,12,27769369,Non conforme,Non,Non
Services,4544798,Aucune,8,9,2,10,22825311,Conforme,Oui,Non
Services,8815217,Retenu,4,3,5,18,29996918,Non conforme,Non,Oui
Fournitures,9370814,Caution,4,7,0,17,35408305,Non conforme,Oui,Non
Services,7801706,Retenu,3,4,5,16,42369216,Non conforme,Oui,Non
Services,7738342,Aucune,4,2,5,12,18835360,Non conforme,Non,Non
Travaux,6803567,Retenu,6,7,4,13,34998015,Non conforme,Non,Non
Travaux,8735722,Retenu,3,8,1,11,16027020,Non conforme,Non,Non
Travaux,8775641,Caution,3,1,5,13,38065896,Conforme,Non,Oui
Travaux,8059496,Aucune,6,7,0,19,43211067,Non conforme,Non,Oui
Fournitures,7258693,Aucune,6,8,4,17,28221636,Non conforme,Oui,Non
Travaux,8347517,Aucune,8,9,5,19,44507334,Non conforme,Oui,Non
Fournitures,8866489,Caution,6,8,3,12,18807565,Non conforme,Oui,Non
Fournitures,6903644,Caution,6,7,3,11,10203824,Non conforme,Non,Non
Travaux,9847609,Retenu,4,8,3,16,16988362,Conforme,Oui,Non
Travaux,8830596,Caution,3,9,3,14,40611019,Conforme,Non,Oui
Fournitures,8746598,Aucune,8,6,2,16,27436494,Conforme,Non,Non
Travaux,4129956,Retenu,4,4,1,15,34611059,Conforme,Non,Oui
Fournitures,7620883,Aucune,4,4,4,17,48129783,Non conforme,Oui,Non
Fournitures,9897367,Aucune,8,10,2,15,47401576,Non conforme,Oui,Non
Travaux,9782189,Caution,4,5,4,17,16521093,Conforme,Oui,Non
Travaux,4952320,Caution,3,2,3,14,41494748,Non conforme,Non,Oui
Travaux,7888940,Caution,3,5,1,13,21255406,Non conforme,Oui,Non
Services,5771619,Retenu,3,10,3,20,45122348,Non conforme,Non,Oui
Services,7853228,Retenu,8,7,0,15,43900649,Conforme,Oui,Non
Services,8831701,Retenu,8,7,4,17,28319098,Non conforme,Oui,Non
Fournitures,8136202,Caution,3,6,0,10,10687092,Conforme,Oui,Non
Travaux,8260834,Caution,3,1,5,17,37471083,Non conforme,Oui,Non
Services,7763946,Retenu,8,5,3,13,17159034,Non conforme,Oui,Non
Travaux,5465932,Retenu,8,6,3,14,39977249,Non conforme,Non,Oui
Fournitures,9629281,Aucune,3,6,1,15,36996400,Conforme,Non,Non
Fournitures,6935953,Caution,8,1,2,13,45248744,Conforme,Oui,Non
Fournitures,4899466,Caution,8,6,4,13,34075250,Conforme,Non,Oui
Fournitures,7493071,Aucune,6,5,2,19,13033637,Conforme,Non,Oui
Fournitures,6925608,Caution,6,9,2,20,19960365,Non conforme,Oui,Non
Fournitures,7740126,Caution,3,10,5,13,27000107,Conforme,Oui,Non
Services,8180202,Aucune,4,2,0,19,25633140,Conforme,Oui,Non
Fournitures,4394823,Retenu,3,1,5,18,10308611,Non conforme,Non,Oui
Fournitures,8106633,Retenu,3,6,2,15,20013108,Non conforme,Non,Oui
Services,4980127,Caution,4,5,0,18,28698760,Conforme,Oui,Non
Fournitures,8730632,Aucune,3,9,5,12,43187938,Non conforme,Oui,Non
Fournitures,6378595,Aucune,3,4,4,15,11058588,Conforme,Oui,Non
Travaux,4199802,Aucune,4,1,4,14,19654949,Conforme,Non,Oui
Travaux,5178111,Retenu,8,7,4,12,28155134,Non conforme,Non,Non
Fournitures,8684969,Aucune,4,5,3,19,10355044,Conforme,Non,Non
Services,5500128,Caution,3,3,5,12,16132596,Conforme,Oui,Non
Services,6631392,Aucune,6,10,0,19,14637939,Conforme,Oui,Non
Travaux,8997629,Retenu,4,6,4,10,11643810,Non conforme,Non,Non
Fournitures,9887728,Caution,4,10,2,13,39415021,Non conforme,Oui,Non
Services,7070358,Aucune,3,4,2,11,39629770,Non conforme,Oui,Non
Services,7093303,Caution,6,8,0,19,34059040,Conforme,Oui,Non
Fournitures,5814756,Retenu,3,6,3,17,12126261,Conforme,Oui,Non
Travaux,6489510,Aucune,3,10,3,18,10751203,Conforme,Oui,Non
Fournitures,7791933,Retenu,4,7,3,11,41417298,Conforme,Oui,Non
Travaux,4822365,Caution,3,4,5,14,29516938,Conforme,Oui,Non
Fournitures,4140188,Caution,6,6,3,20,49398930,Conforme,Oui,Non
Services,9563649,Aucune,4,7,5,13,21818910,Conforme,Oui,Non
Travaux,9376464,Aucune,4,10,3,10,35546967,Conforme,Oui,Non
Travaux,5352460,Retenu,3,8,3,14,10689454,Conforme,Non,Oui
Travaux,8940989,Aucune,6,8,1,14,25380062,Conforme,Non,Oui
Services,8997833,Retenu,6,2,4,20,31114530,Non conforme,Non,Oui
Services,7724174,Caution,6,1,4,16,42498536,Non conforme,Non,Oui
Services,7540110,Retenu,6,10,4,19,46992393,Non conforme,Oui,Non
Services,9118582,Aucune,4,10,4,13,41629909,Conforme,Oui,Non
Travaux,4841650,Aucune,8,5,5,20,30978215,Conforme,Oui,Non
Services,7906595,Retenu,6,4,1,17,37229601,Conforme,Oui,Non
Services,5290014,Aucune,4,9,0,17,29443242,Conforme,Non,Oui
Travaux,9189216,Retenu,8,8,2,20,36128832,Non conforme,Oui,Non
Travaux,7572308,Aucune,8,7,1,17,40809176,Conforme,Oui,Non
Travaux,4297594,Retenu,4,4,3,13,25362910,Conforme,Oui,Non
Fournitures,8484261,Caution,6,6,1,10,13782066,Non conforme,Oui,Non
Fournitures,6238673,Retenu,6,6,3,11,30030131,Conforme,Non,Oui
Fournitures,4547714,Aucune,3,3,2,18,22818735,Conforme,Oui,Non
Services,4079300,Caution,3,7,4,17,13577201,Conforme,Non,Oui
Fournitures,7145812,Aucune,6,9,3,16,31206760,Non conforme,Oui,Non
Services,6980538,Caution,4,8,2,18,38164847,Conforme,Non,Oui
Fournitures,9456625,Retenu,4,9,0,16,29051635,Conforme,Oui,Non
Fournitures,8054843,Retenu,6,5,3,12,43246699,Conforme,Non,Oui
Services,8873334,Caution,4,7,2,15,24987710,Conforme,Non,Oui
Fournitures,5405062,Caution,8,7,3,15,44477068,Conforme,Non,Oui
Services,4436501,Aucune,4,4,2,15,23616059,Conforme,Non,Oui
Fournitures,8175204,Retenu,6,8,3,14,33871671,Non conforme,Non,Oui
Travaux,5595011,Aucune,4,4,5,19,30231365,Non conforme,Oui,Non
Travaux,5436995,Aucune,8,6,3,11,41646517,Conforme,Non,Oui
Services,9448892,Aucune,4,1,0,20,47603389,Non conforme,Non,Non
Services,9429889,Retenu,6,7,0,10,41511953,Non conforme,Oui,Non
Fournitures,7738485,Caution,8,10,5,16,35277469,Conforme,Oui,Non
Travaux,4148312,Caution,3,2,4,16,28555945,Non conforme,Oui,Non
Travaux,9734843,Retenu,4,8,4,18,19675687,Non conforme,Oui,Non
Fournitures,8611498,Retenu,4,6,1,14,40539007,Conforme,Non,Oui
Travaux,4569388,Aucune,6,3,0,12,47044066,Conforme,Non,Oui
Services,9953178,Retenu,3,1,1,15,15959128,Conforme,Oui,Non
Services,8168852,Retenu,6,4,2,18,15452450,Conforme,Oui,Non
Travaux,8503518,Aucune,3,3,5,14,43779166,Conforme,Oui,Non
Services,8867060,Retenu,6,10,5,17,13748662,Non conforme,Non,Oui
Travaux,8714656,Aucune,4,1,1,11,39370881,Conforme,Non,Oui
Services,9081861,Aucune,6,3,2,12,24504973,Conforme,Oui,Non
Services,5840528,Aucune,4,4,0,17,45806153,Conforme,Non,Oui
Travaux,5411739,Retenu,4,7,3,11,46111026,Non conforme,Non,Non
Fournitures,8327422,Retenu,8,2,1,17,45124184,Non conforme,Non,Oui
Fournitures,7613158,Retenu,8,3,4,13,24614534,Conforme,Non,Oui
Travaux,5705856,Caution,6,5,5,13,30836133,Non conforme,Oui,Non
Travaux,7286212,Retenu,8,9,0,10,18534829,Conforme,Oui,Non
Travaux,5864738,Caution,8,5,0,16,22984358,Conforme,Oui,Non
Services,8063150,Caution,4,4,4,11,47631653,Conforme,Oui,Non
Travaux,6280515,Caution,6,1,5,19,12201851,Non conforme,Non,Oui
Travaux,8031086,Caution,8,3,5,19,17942905,Non conforme,Non,Oui
Fournitures,4401130,Aucune,4,9,4,20,42504549,Conforme,Oui,Non
Fournitures,4746588,Retenu,8,8,4,11,14004845,Conforme,Oui,Non
Services,9088821,Aucune,4,1,2,11,14177110,Conforme,Non,Non
Services,9422606,Retenu,3,7,3,12,46938773,Conforme,Oui,Non
Fournitures,5155479,Caution,6,2,1,12,44427304,Conforme,Non,Oui
Travaux,9169384,Retenu,3,7,4,20,31244948,Non conforme,Non,Oui
Fournitures,7757437,Caution,8,7,5,16,42695473,Non conforme,Non,Oui
Fournitures,4928277,Retenu,8,1,2,17,47705089,Non conforme,Oui,Non
Travaux,8158246,Retenu,4,2,2,11,33261351,Conforme,Oui,Non
Fournitures,9821573,Retenu,6,3,5,20,12419884,Conforme,Non,Oui
Travaux,6083872,Retenu,8,1,2,13,41270401,Non conforme,Oui,Non
Services,9644101,Aucune,8,2,3,18,35776287,Conforme,Non,Non
Services,6127552,Caution,3,2,1,17,17207271,Conforme,Non,Oui
Travaux,6402941,Retenu,4,8,1,10,28127801,Conforme,Oui,Non
Travaux,9561780,Retenu,3,9,5,14,16056183,Conforme,Non,Non
Fournitures,4323006,Retenu,6,3,0,10,39248748,Conforme,Non,Oui
Travaux,8260075,Caution,3,1,3,16,17720387,Conforme,Non,Oui
Services,8039519,Retenu,8,3,1,12,20850032,Conforme,Oui,Non
Services,4924203,Caution,4,10,5,16,44704647,Non conforme,Non,Oui
Services,4321411,Caution,4,4,3,12,47090108,Non conforme,Non,Non
Fournitures,5864570,Aucune,6,2,1,16,22658694,Non conforme,Non,Oui
Fournitures,8272185,Aucune,4,10,1,11,32497356,Non conforme,Oui,Non
Travaux,9141169,Retenu,6,3,4,17,12895498,Non conforme,Non,Oui
Services,4880573,Retenu,3,1,1,20,42560995,Non conforme,Non,Oui
Fournitures,4872135,Aucune,8,2,0,11,26184120,Non conforme,Oui,Non
Travaux,4425100,Aucune,6,9,2,11,10966560,Non conforme,Non,Non
Fournitures,7676290,Aucune,8,2,3,18,13529027,Conforme,Oui,Non
Fournitures,4058461,Caution,3,10,3,19,10608439,Conforme,Oui,Non
Services,5323876,Aucune,6,7,3,11,20611321,Non conforme,Oui,Non
Services,8825851,Retenu,3,2,5,14,26542683,Non conforme,Non,Oui
Services,9802425,Retenu,6,7,2,17,35050845,Non conforme,Oui,Non
Services,7652059,Aucune,3,2,3,17,32416606,Non conforme,Oui,Non
Services,8944592,Aucune,6,6,3,12,28820316,Conforme,Oui,Non
Travaux,4398768,Caution,4,3,2,13,26943843,Non conforme,Non,Non
Fournitures,7074760,Retenu,4,2,5,20,13469415,Non conforme,Non,Oui
Travaux,7296723,Caution,3,3,4,15,24562849,Non conforme,Oui,Non
Travaux,8159413,Retenu,3,1,3,15,48728785,Non conforme,Oui,Non
Fournitures,5754892,Aucune,4,6,1,19,46958591,Conforme,Oui,Non
Travaux,4921391,Aucune,6,3,1,16,26391770,Non conforme,Oui,Non
Travaux,9378649,Aucune,6,4,0,15,31033951,Non conforme,Non,Oui
Fournitures,9106634,Aucune,6,1,5,10,41392124,Non conforme,Non,Non
Fournitures,4690461,Aucune,4,5,2,13,42226940,Non conforme,Oui,Non
Travaux,8798912,Retenu,3,4,3,14,29238245,Conforme,Oui,Non
Travaux,7701249,Retenu,8,2,3,20,42877835,Non conforme,Non,Oui
Services,9126836,Retenu,6,4,1,11,18024963,Conforme,Non,Oui
Fournitures,5142635,Aucune,8,6,4,16,18918350,Non conforme,Non,Oui
Fournitures,7579470,Retenu,4,5,3,19,40424920,Conforme,Non,Oui
Services,9479819,Aucune,4,5,4,15,43159357,Non conforme,Non,Non
Fournitures,4129078,Retenu,6,9,3,17,27448509,Conforme,Oui,Non
Travaux,7856339,Aucune,4,4,2,10,30360331,Non conforme,Oui,Non
Fournitures,6226267,Caution,6,7,2,18,32267196,Conforme,Oui,Non
Services,7149006,Aucune,8,7,5,12,29332926,Non conforme,Non,Non
Fournitures,8534726,Retenu,6,3,0,15,48852171,Conforme,Non,Oui
Services,9904973,Aucune,6,8,3,13,14123025,Non conforme,Non,Non
Services,9847992,Aucune,4,1,0,12,32091367,Conforme,Non,Non
Travaux,5371631,Caution,4,1,4,18,32033957,Non conforme,Non,Oui
Fournitures,9871199,Aucune,4,8,2,20,30764892,Non conforme,Oui,Non
Fournitures,8843709,Aucune,3,5,1,20,26417651,Conforme,Oui,Non
Travaux,5662191,Retenu,4,3,0,19,28131100,Non conforme,Oui,Non
Travaux,7458041,Retenu,3,1,0,13,34450946,Non conforme,Oui,Non
Fournitures,4544182,Aucune,6,7,1,14,38729706,Non conforme,Non,Oui
Services,7456553,Aucune,3,5,0,14,22291801,Non conforme,Non,Oui
Services,9525145,Caution,8,6,3,11,14732394,Conforme,Oui,Non
Travaux,4241902,Caution,4,6,2,17,48280170,Non conforme,Non,Oui
Fournitures,9824718,Caution,6,10,2,11,22681196,Non conforme,Non,Non
Fournitures,8536990,Retenu,4,6,2,18,10455450,Conforme,Oui,Non
Services,8399516,Retenu,8,6,4,18,36954815,Conforme,Oui,Non
Fournitures,6851227,Caution,4,9,4,10,36918322,Non conforme,Oui,Non
Fournitures,6993088,Retenu,8,1,0,10,28004682,Conforme,Oui,Non
Services,5383375,Aucune,6,2,2,17,34454977,Non conforme,Non,Oui
Fournitures,5033305,Aucune,3,10,5,18,26169317,Non conforme,Oui,Non
Services,9326647,Retenu,8,7,0,16,36389134,Non conforme,Non,Oui
Travaux,8014478,Aucune,6,8,3,12,10235651,Non conforme,Oui,Non
Services,6099360,Retenu,3,1,0,13,17998553,Non conforme,Oui,Non
Travaux,4302040,Retenu,3,1,3,16,22042679,Conforme,Non,Oui
Services,4927025,Retenu,3,5,4,15,48119515,Non conforme,Oui,Non
Services,9984562,Caution,6,6,5,15,44814452,Conforme,Oui,Non
Travaux,8710543,Aucune,6,6,0,18,34022187,Non conforme,Non,Oui
Travaux,7677420,Caution,8,10,0,11,48994098,Conforme,Non,Oui
Travaux,7708730,Aucune,3,8,2,20,22239242,Conforme,Non,Oui
Travaux,6922755,Aucune,4,8,2,13,46767404,Conforme,Non,Oui
Travaux,9170509,Aucune,6,7,2,11,47129211,Non conforme,Non,Non
Travaux,7657671,Caution,3,9,2,15,31542549,Non conforme,Non,Oui
Fournitures,5915903,Aucune,4,2,0,20,28243255,Non conforme,Oui,Non
Travaux,6275619,Caution,6,5,3,15,35571605,Conforme,Oui,Non
Fournitures,6825069,Aucune,4,4,1,18,10285813,Non conforme,Non,Oui
Travaux,7582293,Aucune,3,1,5,11,39315216,Non conforme,Oui,Non
Travaux,6516794,Retenu,6,4,2,12,37112328,Non conforme,Oui,Non
Services,5733162,Retenu,3,10,2,17,46929107,Non conforme,Oui,Non
Fournitures,9401433,Caution,4,7,0,16,44404681,Non conforme,Oui,Non
Services,8200744,Caution,3,2,3,14,26624623,Conforme,Oui,Non
Travaux,4292219,Caution,8,10,1,14,49627772,Non conforme,Non,Oui
Travaux,7627545,Caution,6,7,3,14,33919309,Conforme,Oui,Non
Travaux,4863750,Caution,8,4,0,12,17215909,Conforme,Non,Oui
Travaux,9464641,Aucune,4,6,3,13,13577124,Conforme,Oui,Non
Travaux,8657325,Aucune,3,9,1,15,28290809,Conforme,Oui,Non
Fournitures,9979324,Retenu,8,10,2,10,12111653,Conforme,Oui,Non
Services,4222479,Retenu,4,3,3,17,18456429,Non conforme,Oui,Non
Travaux,9625904,Aucune,6,5,2,13,18352422,Conforme,Non,Non
Fournitures,6155487,Aucune,4,10,3,20,37053058,Conforme,Non,Oui
Services,9098268,Aucune,8,3,3,18,15919655,Non conforme,Oui,Non
Travaux,8373115,Retenu,6,7,3,15,13630205,Non conforme,Non,Oui
Travaux,6331646,Caution,3,7,4,16,43558900,Conforme,Oui,Non
Fournitures,6066068,Retenu,8,10,3,10,41838890,Conforme,Non,Oui
Services,7019164,Caution,8,4,1,20,25172030,Conforme,Oui,Non
Fournitures,8690177,Caution,8,6,2,16,46750752,Conforme,Oui,Non
Travaux,7979478,Caution,8,2,2,14,26019582,Non conforme,Non,Oui
Fournitures,9011041,Caution,3,4,5,18,22029899,Conforme,Non,Oui
Services,5797999,Aucune,3,6,3,11,10846126,Conforme,Oui,Non
Travaux,9034742,Caution,3,4,4,18,23854025,Non conforme,Oui,Non
Travaux,6524280,Caution,8,10,3,20,19263489,Conforme,Non,Oui
Services,9505461,Retenu,3,6,0,16,17684157,Conforme,Oui,Non
Services,4537307,Retenu,3,3,1,13,44864454,Non conforme,Non,Non
Travaux,7005588,Aucune,4,10,5,16,32207326,Non conforme,Non,Oui
Services,5714475,Retenu,6,10,5,18,43457975,Conforme,Non,Oui
Fournitures,9328577,Caution,6,1,2,11,37736957,Non conforme,Non,Non
Travaux,5785334,Caution,6,7,3,18,16626422,Conforme,Oui,Non
Fournitures,8789075,Caution,4,4,4,15,36303769,Conforme,Oui,Non
Services,4790776,Aucune,8,10,3,11,39753130,Conforme,Non,Oui
Services,9768416,Aucune,4,3,1,13,28976147,Non conforme,Non,Non
Services,8280620,Aucune,6,10,3,13,23390281,Non conforme,Non,Non
Fournitures,5402900,Retenu,3,4,3,19,22524184,Non conforme,Non,Oui
Fournitures,6582557,Retenu,3,6,2,19,33351876,Conforme,Oui,Non
Fournitures,5330885,Aucune,6,1,2,11,20301186,Conforme,Non,Oui
Services,9084832,Aucune,4,7,2,14,41369555,Non conforme,Oui,Non
Travaux,5194277,Retenu,4,9,3,13,27623954,Non conforme,Oui,Non
Travaux,9876141,Aucune,8,10,5,18,41051985,Conforme,Oui,Non
Fournitures,8351185,Retenu,6,8,4,15,41472482,Conforme,Oui,Non
Travaux,8704510,Aucune,8,9,0,11,15299974,Conforme,Oui,Non
Travaux,4590569,Caution,4,10,5,18,22329107,Non conforme,Non,Oui
Travaux,6372601,Aucune,8,6,1,13,30499675,Non conforme,Non,Non
Services,7695673,Aucune,3,4,2,19,47533345,Non conforme,Non,Oui
Fournitures,5975577,Aucune,6,7,1,18,49131589,Non conforme,Oui,Non
Fournitures,8913477,Aucune,4,8,5,10,36280723,Non conforme,Non,Non
Services,9021198,Caution,6,1,4,11,43127346,Non conforme,Oui,Non
Travaux,6044287,Retenu,6,1,5,20,16385839,Non conforme,Oui,Non
Travaux,6136068,Caution,4,10,2,14,29038322,Non conforme,Non,Oui
Services,7164861,Caution,4,7,5,10,23013677,Conforme,Oui,Non
Services,7916979,Aucune,8,3,2,17,13734384,Non conforme,Non,Oui
Travaux,5060686,Aucune,8,3,4,18,46941298,Non conforme,Non,Oui
Travaux,7355268,Retenu,3,3,3,16,23525341,Conforme,Non,Oui
Travaux,7896624,Aucune,4,1,0,17,22177394,Non conforme,Oui,Non
Travaux,8188690,Caution,8,6,2,15,30514205,Conforme,Non,Oui
Fournitures,6620613,Caution,6,10,1,18,39724323,Non conforme,Non,Oui
Travaux,4614026,Aucune,3,6,3,17,30567983,Non conforme,Oui,Non
Services,7093474,Aucune,3,3,1,14,17988104,Non conforme,Oui,Non
Services,7136037,Retenu,3,6,0,14,37054576,Conforme,Non,Oui
Travaux,6999431,Caution,4,4,3,17,28995046,Non conforme,Oui,Non
Travaux,9362326,Retenu,6,9,5,14,13851374,Non conforme,Non,Oui
Fournitures,5806586,Aucune,4,7,2,12,15479882,Non conforme,Non,Non
Services,4829179,Aucune,3,2,2,10,21601762,Non conforme,Oui,Non
Travaux,6072404,Aucune,4,8,0,19,47850781,Conforme,Non,Oui
Fournitures,6730930,Retenu,4,9,1,20,18699419,Non conforme,Oui,Non
Travaux,4049508,Caution,6,4,5,12,24726369,Conforme,Non,Oui
Services,6551997,Caution,4,5,3,18,38256250,Conforme,Oui,Non
Travaux,8827269,Caution,3,10,3,11,47029882,Conforme,Non,Oui
Travaux,8866239,Aucune,6,2,3,11,21511680,Non conforme,Oui,Non
Fournitures,9717584,Aucune,6,10,1,13,16610913,Conforme,Non,Non
Services,7111618,Aucune,4,4,2,18,42716820,Non conforme,Non,Oui
Travaux,4431499,Retenu,6,10,0,16,31908936,Conforme,Non,Oui
Services,8067686,Retenu,8,8,3,18,16035291,Non conforme,Oui,Non
Fournitures,6054888,Aucune,3,3,2,20,29501317,Conforme,Non,Oui
Services,6053143,Caution,6,9,1,15,47410691,Non conforme,Non,Oui
Travaux,5463343,Retenu,8,9,0,17,23204398,Non conforme,Oui,Non
Travaux,7862958,Caution,3,6,3,17,10932369,Conforme,Oui,Non
Travaux,5287463,Aucune,6,6,1,10,17819157,Non conforme,Oui,Non
Travaux,9903585,Aucune,8,3,3,18,10662096,Conforme,Oui,Non
Travaux,4487727,Retenu,3,3,4,11,12595369,Non conforme,Non,Non
Services,6999042,Retenu,8,5,0,17,19428892,Non conforme,Oui,Non
Fournitures,4032760,Aucune,3,5,1,18,44291702,Non conforme,Non,Oui
Services,5086948,Aucune,4,3,3,16,20955833,Conforme,Non,Oui
Fournitures,5073918,Caution,8,9,1,17,49787033,Non conforme,Oui,Non
Travaux,6645813,Retenu,4,5,2,17,10702779,Conforme,Non,Oui
Services,7497326,Aucune,4,10,5,15,23015294,Non conforme,Oui,Non
Travaux,6665734,Retenu,8,7,1,11,46025028,Conforme,Oui,Non
Travaux,6009807,Retenu,6,1,3,11,44772041,Non conforme,Non,Non
Services,8189700,Retenu,3,7,1,18,37153938,Non conforme,Non,Oui
Fournitures,4541997,Retenu,4,10,3,15,33848409,Non conforme,Non,Oui
Fournitures,9343376,Aucune,4,1,4,17,32266923,Non conforme,Oui,Non
Services,5416378,Aucune,3,2,2,20,45544000,Conforme,Non,Oui
Fournitures,6277186,Caution,6,3,0,11,33650783,Conforme,Oui,Non
Fournitures,4600743,Retenu,4,10,2,20,49470302,Non conforme,Non,Oui
Travaux,8958083,Retenu,8,4,4,16,26663298,Non conforme,Non,Oui
Fournitures,6610618,Retenu,8,10,2,16,12867822,Conforme,Non,Oui
